actor_1_name,gross,time,mean,次序
Robert Pattinson,1841497127元,8,230187140元,1
CCH Pounder,859152693元,4,214788173元,2
Aidan Turner,847630374元,4,211907593元,3
Chris Hemsworth,2729132988元,15,181942199元,4
Michael Gough,705336738元,4,176334184元,5
Jennifer Lawrence,2367856024元,14,169132573元,6
Bryce Dallas Howard,808735398元,5,161747079元,7
Will Smith,2762617667元,19,145400929元,8
Tom Hanks,3264559076元,24,136023294元,9
Harrison Ford,3391556163元,25,135662246元,10
Jim Parsons,535619457元,4,133904864元,11
Amy Poehler,1051102844元,8,131387855元,12
Bradley Cooper,1658315287元,13,127562714元,13
Leonardo DiCaprio,2640581774元,21,125741989元,14
Tom Cruise,2987621999元,24,124484249元,15
Steve Carell,1234417944元,10,123441794元,16
Henry Cavill,846530799元,7,120932971元,17
Noel Fisher,482587290元,4,120646822元,18
Christopher Lee,788008448元,7,112572635元,19
Christoph Waltz,561437511元,5,112287502元,20
Daniel Radcliffe,978707075元,9,108745230元,21
Lea Thompson,433072165元,4,108268041元,22
Natalie Portman,1645479776元,16,102842486元,23
Robert Downey Jr.,2456990061元,26,94499617元,24
Macaulay Culkin,566365137元,6,94394189元,25
Johnny Depp,3719618399元,40,92990459元,26
Matthew Broderick,924089032元,10,92408903元,27
J.K. Simmons,2856407143元,31,92142165元,28
Jada Pinkett Smith,631342664元,7,90191809元,29
Demi Moore,535709297元,6,89284882元,30
