actor_1_name,gross,time,mean
Adam Baldwin,115457325.0,4,28864331.25
Adam Goldberg,212781988.0,4,53195497.0
Adam Sandler,1137069543.0,14,81219253.07142857
Adam Scott,233746423.0,8,29218302.875
Aidan Quinn,6273553.0,4,1568388.25
Aidan Turner,847630374.0,4,211907593.5
Al Pacino,714285258.0,14,51020375.571428575
Alan Rickman,699415604.0,8,87426950.5
Alex Pettyfer,223625327.0,5,44725065.4
Alexa PenaVega,218452768.0,8,27306596.0
Alexander Skarsgård,17099609.0,4,4274902.25
Alfre Woodard,426264329.0,8,53283041.125
Alicia Witt,193144041.0,5,38628808.2
Alyson Hannigan,492148168.0,7,70306881.14285715
America Ferrera,82768383.0,4,20692095.75
Amy Poehler,1051102844.0,8,131387855.5
Angelina Jolie Pitt,1168666328.0,15,77911088.53333333
Anjelica Huston,291479761.0,6,48579960.166666664
Anna Kendrick,377193775.0,7,53884825.0
Anne Hathaway,529662340.0,11,48151121.81818182
Anthony Hopkins,834364807.0,20,41718240.35
Archie Panjabi,77736010.0,4,19434002.5
Bella Thorne,233133659.0,4,58283414.75
Benedict Cumberbatch,519245027.0,7,74177861.0
Bernie Mac,492658953.0,11,44787177.54545455
Bill Cobbs,313203508.0,5,62640701.6
Bill Murray,1411131546.0,26,54274290.23076923
Billy Burke,160542036.0,4,40135509.0
Billy Crudup,47838239.0,4,11959559.75
Bob Hoskins,181421290.0,8,22677661.25
Brad Pitt,1127464628.0,17,66321448.705882356
Bradley Cooper,1658315287.0,13,127562714.38461539
Brendan Fraser,327029920.0,12,27252493.333333332
Brian Dennehy,70000986.0,4,17500246.5
Bruce Greenwood,244533082.0,11,22230280.181818184
Bruce Willis,2010942570.0,29,69342847.2413793
Bryce Dallas Howard,808735398.0,5,161747079.6
Busy Philipps,202704313.0,4,50676078.25
CCH Pounder,859152693.0,4,214788173.25
Cary-Hiroyuki Tagawa,423584156.0,5,84716831.2
Catherine Deneuve,39760901.0,7,5680128.714285715
Catherine O'Hara,308697243.0,6,51449540.5
Channing Tatum,1344428689.0,19,70759404.68421052
Charlie Hunnam,149166930.0,5,29833386.0
Charlize Theron,151498011.0,6,25249668.5
Charlotte Rampling,78302761.0,6,13050460.166666666
Chazz Palminteri,266173098.0,6,44362183.0
Chloë Grace Moretz,605521625.0,12,50460135.416666664
Chris Evans,448265275.0,9,49807252.777777776
Chris Hemsworth,2729132988.0,15,181942199.2
Christian Bale,1581349852.0,23,68754341.39130434
Christoph Waltz,561437511.0,5,112287502.2
Christopher Lambert,109644966.0,6,18274161.0
Christopher Lee,788008448.0,7,112572635.42857143
Cicely Tyson,121441074.0,4,30360268.5
Clifton Collins Jr.,31393188.0,4,7848297.0
Clint Eastwood,757241788.0,13,58249368.307692304
Colin Firth,646373735.0,15,43091582.333333336
Connie Nielsen,106030978.0,4,26507744.5
Costas Mandylor,236480800.0,5,47296160.0
Dane Cook,103764221.0,4,25941055.25
Daniel Radcliffe,978707075.0,9,108745230.55555555
Daniel Roebuck,123830892.0,4,30957723.0
David Oyelowo,129746073.0,6,21624345.5
Delroy Lindo,147905873.0,4,36976468.25
